"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-06","5.82",,"0.05","0.0","0.0","55","64","49","  310","  300","15.0","19.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-07","7.16",,"0.00","0.0","0.0","56","63","50","  310","  310","15.0","21.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-08","6.26",,"0.00","0.0","0.0","54","63","46","  310","  330","15.0","21.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-09","2.01",,"0.00","0.0","0.0","54","67","42","  210","  180","8.1","10.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-10","4.70",,"0.00","0.0","0.0","56","68","45","  150","  140","12.1","17.0",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-11","6.49",,"0.00","0.0","0.0","59","71","49","  210","  200","21.9","28.0","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-12","2.68",,"0.00","0.0","0.0","65","79","52","  250","  250","8.9","12.1","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-13","3.36",,"0.00","0.0","0.0","63","80","49","  320","   90","8.1","12.1",,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-14","3.58",,"0.00","0.0","0.0","65","77","55","  190","  190","10.1","14.1","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-15","5.59",,"0.00","0.0","0.0","68","80","58","  220","  210","14.1","18.1","    1","    1",,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-16","5.37",,"0.00","0.0","0.0","72","85","63","  210","  200","15.0","21.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-17","6.93",,"0.13","0.0","0.0","67","78","55","  300","  300","17.0","23.0","    1",,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2017-09-18","4.03",,"0.00","0.0","0.0","58","67","47","  260","  270","12.1","14.1","    1",,,,,
